Drug,Model,Num_Loci,Binned_MAE,Binned_MSE,MAE,MSE,Within_doubling,Spearman,Spearman_pval,Sensitivity,Specificity,Precision,Accuracy,Balanced_Acc,F1,CV,Addl_Data,Binned_MAE_exp,Binned_MSE_exp,Without_doubling
Ethambutol,CNN,2,0.3254822023981014,0.4582326629821475,0.7016732729040119,0.8666696519302006,0.8973460190285428,0.7735466223406213,0.0,0.6739526411657559,0.9350828729281768,0.7974137931034483,0.8632949424136205,0.8045177570469664,0.7305034550839091,0,– Lineage,1.2530831956978037,1.3738577771829585,0.10265398097145717
Ethambutol,CNN,2,0.3445601138413405,0.466303855401049,0.7315271027383088,0.8900471453520001,0.8813219829744617,0.764367523844206,0.0,0.8378870673952641,0.8680939226519337,0.706605222734255,0.8597896845267902,0.8529904950235989,0.7666666666666666,1,– Lineage,1.2697637651084446,1.3815653979920872,0.11867801702553826
Ethambutol,CNN,2,0.3206949689698066,0.4490392984133738,0.7086060466239167,0.8575356140758187,0.9033550325488232,0.7724749442318057,0.0,0.7668488160291439,0.9088397790055248,0.7613019891500904,0.8698047070605909,0.8378442975173344,0.7640653357531761,2,– Lineage,1.2489320342890389,1.3651309029772012,0.09664496745117679
Ethambutol,CNN,2,0.3364578499391757,0.4917251154755219,0.7192850019035535,0.8997831739446922,0.900350525788683,0.7666251754597734,0.0,0.8415300546448088,0.8687845303867403,0.7085889570552147,0.8612919379068603,0.8551572925157745,0.7693588676103247,3,– Lineage,1.2626526806992107,1.4061252577026877,0.09964947421131698
Ethambutol,CNN,2,0.3387665300836928,0.5001585542361379,0.7344065526333676,0.9254691325028844,0.8968452679018528,0.7588585592196442,0.0,0.8397085610200364,0.8722375690607734,0.7136222910216719,0.8632949424136205,0.8559730650404049,0.7715481171548118,4,– Lineage,1.2646748647063109,1.4143689949952272,0.10315473209814718
Ethambutol,CNN,2,0.3510320213874161,0.4889384676836029,0.6952361155330176,0.9105346454937376,0.8938407611417125,0.769893113016711,0.0,0.7358834244080146,0.9157458563535912,0.7680608365019012,0.8662994491737607,0.8258146403808029,0.7516279069767443,0,+ Lineage,1.2754727011625924,1.4034118679108945,0.10615923885828749
Ethambutol,CNN,2,0.3210000596923357,0.4213802586741368,0.6911676019954897,0.822444396904234,0.9043565348022032,0.7862212467217711,0.0,0.825136612021858,0.8895027624309392,0.7389885807504079,0.871807711567351,0.8573196872263986,0.7796901893287436,1,+ Lineage,1.2491961773395848,1.3392081925683694,0.09564346519779676
Ethambutol,CNN,2,0.3326573943442018,0.4660593114425297,0.7065321942234206,0.8755975153782828,0.899849774661993,0.7740963450115531,0.0,0.692167577413479,0.9343922651933702,0.8,0.8678017025538307,0.8132799213034245,0.7421875,2,+ Lineage,1.2593308833919947,1.3813312356573577,0.10015022533800699
Ethambutol,CNN,2,0.3418848083437221,0.5077611672520645,0.7304236124026415,0.9302449137014376,0.9018527791687532,0.7688846638163435,0.0,0.848816029143898,0.8701657458563536,0.7125382262996942,0.8642964446670005,0.8594908875001258,0.7747298420615129,3,+ Lineage,1.2674113218265908,1.4218420104959726,0.09814722083124683
Ethambutol,CNN,2,0.3489494570115629,0.488785838241078,0.7184194964899447,0.9043127807590718,0.8923385077616425,0.7676708585439972,0.0,0.848816029143898,0.8653314917127072,0.7049924357034796,0.8607911867801703,0.8570737604283025,0.7702479338842975,4,+ Lineage,1.2736328544354307,1.4032634022721782,0.10766149223835753
